-23.9303,-24.0419,-23.8753
-23.4407,-23.4789,-23.8148
-24.0081,-23.9123,-24.0138
-24.0115,-24.0625,-24.0326
-22.8624,-22.844,-22.9342
-23.0142,-22.9892,-23.0971
-23.1623,-23.2131,-23.1915
-23.012,-23.055,-23.0579
-22.3555,-22.3827,-22.3219
-22.5568,-22.5071,-22.6142
-22.6705,-22.7392,-22.6384
-22.517,-22.5888,-22.4339
-21.7697,-21.8211,-21.905
-22.0849,-22.0505,-22.0656
-22.115,-22.119,-22.0979
-21.9908,-21.9622,-21.9606
-21.4876,-21.4049,-21.4065
-21.6134,-21.6681,-21.7177
-21.7471,-21.7634,-21.7098
-21.6295,-21.5923,-21.5379
-21.295,-21.2042,-21.2435
-21.2247,-21.2896,-21.2797
-21.2096,-21.2717,-21.2944
-21.4419,-21.1388,-21.1165
-20.5882,-20.618,-20.5224
-20.813,-20.8274,-20.848
-21.0524,-20.9235,-20.8651
-20.7768,-20.7735,-20.6846
-20.2255,-20.296,-20.5877
-20.6466,-20.5455,-20.6516
-20.7383,-20.7329,-20.7275
-20.4774,-20.6457,-20.5376
-20.3568,-20.305,-20.408
-20.4079,-20.3746,-20.5968
-20.514,-20.5456,-20.5187
-20.3553,-20.542,-20.2898
-20.0626,-20.1403,-20.1466
-20.2001,-20.1916,-20.2418
-20.4653,-20.2642,-20.4701
-20.2093,-20.229,-20.3199
-19.9184,-19.9851,-19.9806
-19.9933,-19.9674,-20.0371
-19.9827,-20.0079,-19.947
-19.9629,-19.9688,-19.9242
-19.577,-19.5979,-19.773
-19.8058,-19.8899,-19.8119
-19.9441,-19.9632,-19.9027
-19.7523,-19.8203,-19.7915
-19.4139,-19.4483,-19.5968
-19.7767,-19.8054,-19.8374
-19.9212,-19.8165,-19.7533
-19.639,-19.4172,-19.4407
0,0,0
0,0,0
0,0,0
0,0,0
-18.9494,-18.8117,-18.8874
-19.0067,-18.9073,-18.8904
-19.2353,-19.1867,-19.2403
-19.1968,-19.2906,-19.0902
-18.9212,-18.8434,-18.9458
-19.3813,-19.1693,-19.2437
-19.1733,-19.2037,-19.1875
-18.9222,-18.9334,-18.8877
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
