-99.8878,-100,-100
-100,-100,-100
-100,-100,-100
-100,-100,-100
-100,-100,-100
-100,-100,-100
-100,-100,-100
-100,-100,-100
-99.9044,-99.8735,-99.8142
-99.6144,-99.8592,-99.9445
-99.8871,-99.7351,-99.9323
-99.8475,-99.9854,-99.8384
-99.4834,-99.8332,-99.7559
-99.5229,-99.6152,-99.7493
-99.8875,-99.5864,-99.8558
-99.951,-99.9775,-99.6287
-99.5181,-99.6512,-99.7363
-99.5248,-99.6104,-99.5716
-99.6049,-99.5412,-99.6427
-99.8715,-99.857,-99.5495
-99.5258,-99.5577,-99.5254
-99.5267,-99.5266,-99.5263
-99.5263,-99.5263,-99.5482
-99.6019,-99.5378,-99.5278
-99.5232,-99.5225,-99.524
-99.5248,-99.5246,-99.5243
-99.5255,-99.5252,-99.5254
-99.5233,-99.5243,-99.5237
-99.5269,-99.5264,-99.5267
-99.5261,-99.5267,-99.5267
-99.5288,-99.528,-99.528
-99.528,-99.528,-99.5282
-99.5246,-99.5246,-99.5245
-99.5252,-99.5244,-99.525
-99.5271,-99.5269,-99.5268
-99.5251,-99.5271,-99.5253
-99.5257,-99.5255,-99.5261
-99.5259,-99.526,-99.5258
-99.5256,-99.5259,-99.5249
-99.5249,-99.5248,-99.5256
-99.5238,-99.5239,-99.5247
-99.5258,-99.5257,-99.5256
-99.5264,-99.5265,-99.5261
-99.5248,-99.5243,-99.5249
-99.5253,-99.5253,-99.5256
-99.5266,-99.5265,-99.5274
-99.5267,-99.5266,-99.5258
-99.5249,-99.5243,-99.5241
-99.5187,-99.5177,-99.5192
-99.5205,-99.5198,-99.5202
-99.5222,-99.5213,-99.5211
-99.5195,-99.5208,-99.5189
-99.5189,-99.5191,-99.5194
-99.5202,-99.5202,-99.5205
-99.5214,-99.5209,-99.5208
-99.5193,-99.52,-99.5197
-99.5197,-99.5197,-99.5194
-99.5212,-99.5209,-99.5215
-99.5218,-99.5214,-99.5218
-99.5206,-99.5206,-99.5202
-99.5119,-99.5114,-99.5116
-99.5122,-99.5126,-99.512
-99.5123,-99.5127,-99.513
-99.5136,-99.5116,-99.512
-99.5167,-99.5169,-99.518
-99.5176,-99.5172,-99.5183
-99.5192,-99.5192,-99.5192
-99.5198,-99.5194,-99.519
-99.5168,-99.5168,-99.5165
-99.5178,-99.517,-99.5175
-99.5184,-99.5178,-99.5179
-99.5184,-99.5174,-99.5169
-99.5149,-99.5174,-99.5165
-99.5176,-99.5174,-99.5183
-99.5189,-99.5186,-99.5193
-99.5177,-99.5178,-99.5177
